@relation cleaner

@attribute class {blood, cake, coffee, dressing, dust, fungus, glass, glue, grass, ink, lubricant, mud, oil, paper, paste, rot, sand, sauce, water, wine}
@attribute age numeric
@attribute class {floor, wood, carpet, carpetCotton}
@attribute class {airFreshener,alcohol,bakingSoda,cleaningMilk,dishSoap,floorSoap,fumigator,nothing,paste,soap,solvent,spray,vanish,vinegar,washingPowder,water}

@data
cake,9,wood,airFreshener
cake,5,wood,airFreshener
cake,6,wood,airFreshener
cake,8,wood,airFreshener
cake,1,wood,airFreshener
cake,7,wood,airFreshener
cake,3,wood,airFreshener
cake,1,wood,airFreshener
cake,5,wood,airFreshener
cake,6,wood,airFreshener
cake,7,wood,airFreshener
cake,0,wood,airFreshener
cake,1,wood,airFreshener
cake,9,wood,airFreshener
cake,4,wood,airFreshener
cake,2,wood,airFreshener
cake,5,wood,airFreshener
cake,3,wood,airFreshener
cake,1,wood,airFreshener
cake,9,wood,airFreshener
cake,10,wood,airFreshener
cake,1,wood,airFreshener
cake,2,wood,airFreshener
cake,3,wood,airFreshener
cake,4,wood,airFreshener
cake,0,wood,airFreshener
cake,4,wood,airFreshener
cake,7,wood,airFreshener
cake,8,wood,airFreshener
cake,9,wood,airFreshener
cake,5,wood,airFreshener
cake,7,wood,airFreshener
cake,9,wood,airFreshener
cake,6,wood,airFreshener
cake,0,wood,airFreshener
cake,3,wood,airFreshener
cake,7,wood,airFreshener
cake,6,wood,airFreshener
cake,2,wood,airFreshener
cake,5,wood,airFreshener
cake,0,wood,airFreshener
cake,9,wood,airFreshener
cake,3,wood,airFreshener
cake,7,wood,airFreshener
cake,6,wood,airFreshener
cake,1,wood,airFreshener
cake,5,wood,airFreshener
cake,8,wood,airFreshener
cake,2,wood,airFreshener
cake,7,wood,airFreshener
cake,4,wood,airFreshener
cake,8,wood,airFreshener
cake,7,wood,airFreshener
cake,4,wood,airFreshener
cake,3,wood,airFreshener
cake,10,wood,airFreshener
cake,6,wood,airFreshener
cake,8,wood,airFreshener
cake,0,wood,airFreshener
cake,1,wood,airFreshener
cake,9,wood,airFreshener
cake,6,wood,airFreshener
cake,5,wood,airFreshener
cake,9,wood,airFreshener
cake,8,wood,airFreshener
cake,4,wood,airFreshener
cake,8,wood,airFreshener
cake,0,wood,airFreshener
cake,2,wood,airFreshener
cake,0,wood,airFreshener
cake,2,wood,airFreshener
cake,7,wood,airFreshener
cake,3,wood,airFreshener
cake,9,wood,airFreshener
cake,1,wood,airFreshener
cake,6,wood,airFreshener
cake,7,wood,airFreshener
cake,10,wood,airFreshener
cake,3,wood,airFreshener
cake,9,wood,airFreshener
cake,2,wood,airFreshener
cake,1,wood,airFreshener
cake,7,wood,airFreshener
cake,1,wood,airFreshener
cake,5,wood,airFreshener
cake,4,wood,airFreshener
cake,5,wood,airFreshener
cake,6,wood,airFreshener
cake,9,wood,airFreshener
cake,8,wood,airFreshener
cake,7,wood,airFreshener
cake,2,wood,airFreshener
cake,5,wood,airFreshener
cake,7,wood,airFreshener
cake,3,wood,airFreshener
cake,5,wood,airFreshener
cake,4,wood,airFreshener
cake,9,wood,airFreshener
cake,7,wood,airFreshener
cake,8,wood,airFreshener
cake,0,wood,airFreshener
cake,10,wood,airFreshener
cake,3,wood,airFreshener
cake,7,wood,airFreshener
cake,5,wood,airFreshener
cake,7,wood,airFreshener
cake,4,wood,airFreshener
cake,7,wood,airFreshener
cake,2,wood,airFreshener
cake,3,wood,airFreshener
cake,1,wood,airFreshener
cake,0,wood,airFreshener
cake,4,wood,airFreshener
wine,26,wood,airFreshener
wine,29,wood,airFreshener
wine,28,wood,airFreshener
wine,25,wood,airFreshener
wine,26,wood,airFreshener
wine,25,wood,airFreshener
wine,30,wood,airFreshener
wine,24,wood,airFreshener
wine,26,wood,airFreshener
wine,28,wood,airFreshener
wine,25,wood,airFreshener
wine,24,wood,airFreshener
wine,29,wood,airFreshener
wine,27,wood,airFreshener
wine,23,wood,airFreshener
wine,20,wood,airFreshener
wine,28,wood,airFreshener
wine,19,wood,airFreshener
wine,21,wood,airFreshener
wine,20,wood,airFreshener
wine,27,wood,airFreshener
wine,20,wood,airFreshener
wine,30,wood,airFreshener
wine,29,wood,airFreshener
wine,19,wood,airFreshener
wine,28,wood,airFreshener
wine,27,wood,airFreshener
wine,24,wood,airFreshener
wine,22,wood,airFreshener
wine,28,wood,airFreshener
wine,26,wood,airFreshener
wine,28,wood,airFreshener
wine,19,wood,airFreshener
wine,22,wood,airFreshener
wine,25,wood,airFreshener
wine,22,wood,airFreshener
wine,19,wood,airFreshener
wine,22,wood,airFreshener
wine,28,wood,airFreshener
wine,19,wood,airFreshener
wine,24,wood,airFreshener
wine,27,wood,airFreshener
wine,19,wood,airFreshener
wine,26,wood,airFreshener
wine,22,wood,airFreshener
wine,26,wood,airFreshener
wine,29,wood,airFreshener
wine,20,wood,airFreshener
wine,29,wood,airFreshener
wine,20,wood,airFreshener
wine,29,wood,airFreshener
wine,21,wood,airFreshener
wine,27,wood,airFreshener
wine,26,wood,airFreshener
wine,30,wood,airFreshener
wine,29,wood,airFreshener
wine,23,wood,airFreshener
wine,30,wood,airFreshener
wine,22,wood,airFreshener
wine,30,wood,airFreshener
wine,19,wood,airFreshener
wine,21,wood,airFreshener
wine,29,wood,airFreshener
wine,23,wood,airFreshener
wine,30,wood,airFreshener
wine,26,wood,airFreshener
wine,20,wood,airFreshener
wine,28,wood,airFreshener
wine,25,wood,airFreshener
wine,26,wood,airFreshener
wine,20,wood,airFreshener
wine,26,wood,airFreshener
wine,19,wood,airFreshener
wine,20,wood,airFreshener
wine,19,wood,airFreshener
wine,30,wood,airFreshener
wine,24,wood,airFreshener
wine,21,wood,airFreshener
wine,19,wood,airFreshener
wine,25,wood,airFreshener
wine,20,wood,airFreshener
wine,19,wood,airFreshener
wine,20,wood,airFreshener
wine,22,wood,airFreshener
wine,26,wood,airFreshener
wine,29,wood,airFreshener
wine,30,wood,airFreshener
wine,24,wood,airFreshener
wine,22,wood,airFreshener
wine,25,wood,airFreshener
wine,19,wood,airFreshener
wine,20,wood,airFreshener
wine,19,wood,airFreshener
wine,26,wood,airFreshener
wine,29,wood,airFreshener
wine,28,wood,airFreshener
wine,27,wood,airFreshener
wine,22,wood,airFreshener
wine,30,wood,airFreshener
wine,25,wood,airFreshener
wine,22,wood,airFreshener
wine,21,wood,airFreshener
wine,27,wood,airFreshener
wine,23,wood,airFreshener
wine,22,wood,airFreshener
wine,19,wood,airFreshener
wine,24,wood,airFreshener
wine,22,wood,airFreshener
wine,21,wood,airFreshener
wine,29,wood,airFreshener
wine,21,wood,airFreshener
wine,25,wood,airFreshener
wine,27,wood,airFreshener
wine,20,wood,airFreshener
wine,25,wood,airFreshener
wine,27,wood,airFreshener
wine,30,wood,airFreshener
wine,27,wood,airFreshener
wine,22,wood,airFreshener
wine,24,wood,airFreshener
wine,22,wood,airFreshener
wine,29,wood,airFreshener
wine,26,wood,airFreshener
wine,22,wood,airFreshener
wine,28,wood,airFreshener
wine,26,wood,airFreshener
wine,29,wood,airFreshener
wine,26,wood,airFreshener
wine,25,wood,airFreshener
wine,26,wood,airFreshener
wine,22,wood,airFreshener
wine,20,wood,airFreshener
wine,21,wood,airFreshener
wine,19,wood,airFreshener
wine,30,wood,airFreshener
wine,22,wood,airFreshener
wine,28,wood,airFreshener
wine,21,wood,airFreshener
wine,30,wood,airFreshener
wine,26,wood,airFreshener
wine,30,wood,airFreshener
wine,24,wood,airFreshener
wine,25,wood,airFreshener
wine,26,wood,airFreshener
wine,22,wood,airFreshener
wine,28,wood,airFreshener
wine,19,wood,airFreshener
wine,25,wood,airFreshener
wine,21,wood,airFreshener
wine,28,wood,airFreshener
wine,29,wood,airFreshener
wine,22,wood,airFreshener
wine,25,wood,airFreshener
wine,28,wood,airFreshener
wine,24,wood,airFreshener
wine,26,wood,airFreshener
wine,27,wood,airFreshener
wine,28,wood,airFreshener
wine,30,wood,airFreshener
wine,20,wood,airFreshener
wine,22,wood,airFreshener
wine,25,wood,airFreshener
wine,22,wood,airFreshener
wine,19,wood,airFreshener
wine,20,wood,airFreshener
wine,25,wood,airFreshener
wine,23,wood,airFreshener
wine,27,wood,airFreshener
wine,30,wood,airFreshener
wine,24,wood,airFreshener
wine,27,wood,airFreshener
wine,26,wood,airFreshener
wine,25,wood,airFreshener
wine,30,wood,airFreshener
wine,27,wood,airFreshener
wine,23,wood,airFreshener
wine,30,wood,airFreshener
wine,24,wood,airFreshener
wine,19,wood,airFreshener
wine,28,wood,airFreshener
wine,24,wood,airFreshener
wine,28,wood,airFreshener
lubricant,68,floor,alcohol
lubricant,99,floor,alcohol
lubricant,85,floor,alcohol
lubricant,54,floor,alcohol
lubricant,86,floor,alcohol
lubricant,57,floor,alcohol
lubricant,55,floor,alcohol
lubricant,53,floor,alcohol
lubricant,57,floor,alcohol
lubricant,99,floor,alcohol
lubricant,51,floor,alcohol
lubricant,88,floor,alcohol
lubricant,80,floor,alcohol
lubricant,95,floor,alcohol
lubricant,57,floor,alcohol
lubricant,80,floor,alcohol
lubricant,95,floor,alcohol
lubricant,84,floor,alcohol
lubricant,66,floor,alcohol
lubricant,87,floor,alcohol
lubricant,86,floor,alcohol
lubricant,83,floor,alcohol
lubricant,68,floor,alcohol
lubricant,67,floor,alcohol
lubricant,93,floor,alcohol
lubricant,75,floor,alcohol
lubricant,95,floor,alcohol
lubricant,100,floor,alcohol
lubricant,72,floor,alcohol
lubricant,53,floor,alcohol
lubricant,84,floor,alcohol
lubricant,91,floor,alcohol
lubricant,84,floor,alcohol
lubricant,64,floor,alcohol
lubricant,58,floor,alcohol
lubricant,93,floor,alcohol
lubricant,59,floor,alcohol
lubricant,88,floor,alcohol
lubricant,94,floor,alcohol
lubricant,80,floor,alcohol
lubricant,76,floor,alcohol
lubricant,67,floor,alcohol
lubricant,88,floor,alcohol
lubricant,53,floor,alcohol
lubricant,74,floor,alcohol
lubricant,73,floor,alcohol
lubricant,62,floor,alcohol
lubricant,68,floor,alcohol
lubricant,91,floor,alcohol
lubricant,83,floor,alcohol
lubricant,56,floor,alcohol
lubricant,57,floor,alcohol
lubricant,81,floor,alcohol
lubricant,51,floor,alcohol
lubricant,95,floor,alcohol
lubricant,57,floor,alcohol
lubricant,70,floor,alcohol
lubricant,92,floor,alcohol
lubricant,71,floor,alcohol
lubricant,87,floor,alcohol
lubricant,61,floor,alcohol
lubricant,85,floor,alcohol
lubricant,56,floor,alcohol
lubricant,64,floor,alcohol
lubricant,84,floor,alcohol
lubricant,76,floor,alcohol
lubricant,60,floor,alcohol
lubricant,63,floor,alcohol
lubricant,66,floor,alcohol
lubricant,55,floor,alcohol
lubricant,54,floor,alcohol
lubricant,65,floor,alcohol
lubricant,64,floor,alcohol
lubricant,51,floor,alcohol
lubricant,81,floor,alcohol
lubricant,91,floor,alcohol
lubricant,52,floor,alcohol
lubricant,81,floor,alcohol
lubricant,89,floor,alcohol
lubricant,76,floor,alcohol
lubricant,85,floor,alcohol
lubricant,79,floor,alcohol
lubricant,67,floor,alcohol
lubricant,61,floor,alcohol
lubricant,68,floor,alcohol
lubricant,66,floor,alcohol
lubricant,89,floor,alcohol
lubricant,76,floor,alcohol
lubricant,67,floor,alcohol
lubricant,62,floor,alcohol
lubricant,72,floor,alcohol
lubricant,85,floor,alcohol
lubricant,66,floor,alcohol
lubricant,100,floor,alcohol
lubricant,85,floor,alcohol
lubricant,97,floor,alcohol
lubricant,67,floor,alcohol
lubricant,89,floor,alcohol
lubricant,93,floor,alcohol
lubricant,65,floor,alcohol
lubricant,71,floor,alcohol
lubricant,60,floor,alcohol
lubricant,89,floor,alcohol
lubricant,96,floor,alcohol
lubricant,53,floor,alcohol
lubricant,84,floor,alcohol
lubricant,98,floor,alcohol
lubricant,72,floor,alcohol
lubricant,62,floor,alcohol
lubricant,56,floor,alcohol
lubricant,77,floor,alcohol
lubricant,81,floor,alcohol
lubricant,77,floor,alcohol
lubricant,61,floor,alcohol
lubricant,82,floor,alcohol
lubricant,85,floor,alcohol
lubricant,76,floor,alcohol
lubricant,96,floor,alcohol
lubricant,64,floor,alcohol
lubricant,58,floor,alcohol
lubricant,97,floor,alcohol
lubricant,84,floor,alcohol
lubricant,91,floor,alcohol
lubricant,59,floor,alcohol
lubricant,92,floor,alcohol
lubricant,62,floor,alcohol
lubricant,58,floor,alcohol
lubricant,88,floor,alcohol
lubricant,80,floor,alcohol
lubricant,93,floor,alcohol
lubricant,80,floor,alcohol
lubricant,77,floor,alcohol
lubricant,79,floor,alcohol
lubricant,74,floor,alcohol
lubricant,79,floor,alcohol
lubricant,97,floor,alcohol
lubricant,96,floor,alcohol
lubricant,76,floor,alcohol
lubricant,63,floor,alcohol
lubricant,52,floor,alcohol
lubricant,63,floor,alcohol
lubricant,84,floor,alcohol
lubricant,82,floor,alcohol
lubricant,97,floor,alcohol
lubricant,73,floor,alcohol
lubricant,87,floor,alcohol
lubricant,63,floor,alcohol
lubricant,56,floor,alcohol
lubricant,95,floor,alcohol
lubricant,66,floor,alcohol
lubricant,75,floor,alcohol
lubricant,85,floor,alcohol
lubricant,74,floor,alcohol
lubricant,82,floor,alcohol
lubricant,87,floor,alcohol
lubricant,58,floor,alcohol
lubricant,69,floor,alcohol
lubricant,71,floor,alcohol
lubricant,69,floor,alcohol
lubricant,87,floor,alcohol
lubricant,56,floor,alcohol
lubricant,93,floor,alcohol
lubricant,63,floor,alcohol
lubricant,59,floor,alcohol
lubricant,69,floor,alcohol
lubricant,95,floor,alcohol
lubricant,85,floor,alcohol
lubricant,96,floor,alcohol
lubricant,91,floor,alcohol
lubricant,78,floor,alcohol
lubricant,62,floor,alcohol
lubricant,67,floor,alcohol
lubricant,75,floor,alcohol
lubricant,87,floor,alcohol
lubricant,68,floor,alcohol
lubricant,91,floor,alcohol
lubricant,71,floor,alcohol
lubricant,54,floor,alcohol
lubricant,55,floor,alcohol
lubricant,88,floor,alcohol
lubricant,62,floor,alcohol
lubricant,76,floor,alcohol
lubricant,65,floor,alcohol
lubricant,97,floor,alcohol
lubricant,80,floor,alcohol
lubricant,84,floor,alcohol
lubricant,99,floor,alcohol
lubricant,77,floor,alcohol
lubricant,81,floor,alcohol
lubricant,78,floor,alcohol
lubricant,82,floor,alcohol
lubricant,100,floor,alcohol
lubricant,68,floor,alcohol
lubricant,65,floor,alcohol
oil,35,floor,alcohol
oil,48,floor,alcohol
oil,47,floor,alcohol
oil,38,floor,alcohol
oil,43,floor,alcohol
oil,52,floor,alcohol
oil,45,floor,alcohol
oil,55,floor,alcohol
oil,47,floor,alcohol
oil,55,floor,alcohol
oil,44,floor,alcohol
oil,55,floor,alcohol
oil,38,floor,alcohol
oil,56,floor,alcohol
oil,50,floor,alcohol
oil,51,floor,alcohol
oil,56,floor,alcohol
oil,43,floor,alcohol
oil,39,floor,alcohol
oil,47,floor,alcohol
oil,49,floor,alcohol
oil,38,floor,alcohol
oil,43,floor,alcohol
oil,47,floor,alcohol
oil,54,floor,alcohol
oil,55,floor,alcohol
oil,48,floor,alcohol
oil,53,floor,alcohol
oil,48,floor,alcohol
oil,50,floor,alcohol
oil,35,floor,alcohol
oil,39,floor,alcohol
oil,55,floor,alcohol
oil,56,floor,alcohol
oil,37,floor,alcohol
oil,52,floor,alcohol
oil,47,floor,alcohol
oil,41,floor,alcohol
oil,44,floor,alcohol
oil,46,floor,alcohol
oil,37,floor,alcohol
oil,53,floor,alcohol
oil,51,floor,alcohol
oil,35,floor,alcohol
oil,38,floor,alcohol
oil,48,floor,alcohol
oil,44,floor,alcohol
oil,48,floor,alcohol
oil,40,floor,alcohol
oil,48,floor,alcohol
oil,37,floor,alcohol
oil,41,floor,alcohol
oil,52,floor,alcohol
oil,44,floor,alcohol
oil,39,floor,alcohol
oil,54,floor,alcohol
oil,50,floor,alcohol
oil,56,floor,alcohol
oil,36,floor,alcohol
oil,37,floor,alcohol
oil,56,floor,alcohol
oil,40,floor,alcohol
oil,46,floor,alcohol
oil,49,floor,alcohol
oil,38,floor,alcohol
oil,43,floor,alcohol
oil,51,floor,alcohol
oil,38,floor,alcohol
oil,47,floor,alcohol
oil,39,floor,alcohol
oil,55,floor,alcohol
oil,48,floor,alcohol
oil,35,floor,alcohol
oil,39,floor,alcohol
oil,46,floor,alcohol
oil,49,floor,alcohol
oil,44,floor,alcohol
oil,35,floor,alcohol
oil,50,floor,alcohol
oil,44,floor,alcohol
oil,54,floor,alcohol
oil,45,floor,alcohol
oil,52,floor,alcohol
oil,35,floor,alcohol
oil,40,floor,alcohol
oil,42,floor,alcohol
oil,38,floor,alcohol
oil,54,floor,alcohol
oil,45,floor,alcohol
oil,38,floor,alcohol
oil,40,floor,alcohol
oil,44,floor,alcohol
oil,54,floor,alcohol
oil,52,floor,alcohol
oil,48,floor,alcohol
oil,53,floor,alcohol
oil,39,floor,alcohol
oil,54,floor,alcohol
oil,42,floor,alcohol
oil,54,floor,alcohol
oil,41,floor,alcohol
oil,40,floor,alcohol
oil,51,floor,alcohol
oil,39,floor,alcohol
oil,42,floor,alcohol
oil,41,floor,alcohol
oil,44,floor,alcohol
oil,35,floor,alcohol
oil,42,floor,alcohol
oil,55,floor,alcohol
oil,54,floor,alcohol
oil,46,floor,alcohol
oil,55,floor,alcohol
oil,35,floor,alcohol
oil,38,floor,alcohol
oil,51,floor,alcohol
oil,38,floor,alcohol
oil,43,floor,alcohol
oil,55,floor,alcohol
oil,45,floor,alcohol
oil,42,floor,alcohol
oil,55,floor,alcohol
oil,35,floor,alcohol
oil,39,floor,alcohol
oil,48,floor,alcohol
oil,55,floor,alcohol
oil,52,floor,alcohol
oil,43,floor,alcohol
oil,46,floor,alcohol
oil,38,floor,alcohol
oil,39,floor,alcohol
oil,51,floor,alcohol
oil,47,floor,alcohol
oil,42,floor,alcohol
oil,36,floor,alcohol
oil,38,floor,alcohol
oil,47,floor,alcohol
oil,44,floor,alcohol
oil,50,floor,alcohol
oil,35,floor,alcohol
oil,54,floor,alcohol
oil,48,floor,alcohol
oil,46,floor,alcohol
oil,45,floor,alcohol
oil,36,floor,alcohol
oil,44,floor,alcohol
oil,39,floor,alcohol
oil,48,floor,alcohol
oil,37,floor,alcohol
oil,38,floor,alcohol
oil,50,floor,alcohol
oil,41,floor,alcohol
oil,43,floor,alcohol
oil,41,floor,alcohol
oil,38,floor,alcohol
oil,51,floor,alcohol
oil,48,floor,alcohol
oil,36,floor,alcohol
oil,46,floor,alcohol
oil,48,floor,alcohol
oil,47,floor,alcohol
oil,51,floor,alcohol
oil,38,floor,alcohol
oil,40,floor,alcohol
oil,42,floor,alcohol
oil,51,floor,alcohol
oil,46,floor,alcohol
oil,45,floor,alcohol
oil,48,floor,alcohol
oil,35,floor,alcohol
oil,46,floor,alcohol
oil,42,floor,alcohol
oil,36,floor,alcohol
oil,50,floor,alcohol
oil,40,floor,alcohol
oil,56,floor,alcohol
oil,49,floor,alcohol
oil,35,floor,alcohol
oil,43,floor,alcohol
oil,49,floor,alcohol
oil,46,floor,alcohol
oil,42,floor,alcohol
oil,39,floor,alcohol
oil,45,floor,alcohol
oil,37,floor,alcohol
oil,43,floor,alcohol
oil,51,floor,alcohol
oil,49,floor,alcohol
oil,50,floor,alcohol
oil,48,floor,alcohol
rot,92,floor,alcohol
rot,89,floor,alcohol
rot,84,floor,alcohol
rot,98,floor,alcohol
rot,97,floor,alcohol
rot,79,floor,alcohol
rot,87,floor,alcohol
rot,98,floor,alcohol
rot,79,floor,alcohol
rot,82,floor,alcohol
rot,89,floor,alcohol
rot,88,floor,alcohol
rot,78,floor,alcohol
rot,95,floor,alcohol
rot,84,floor,alcohol
rot,81,floor,alcohol
rot,89,floor,alcohol
rot,100,floor,alcohol
rot,79,floor,alcohol
rot,85,floor,alcohol
rot,90,floor,alcohol
rot,97,floor,alcohol
rot,99,floor,alcohol
rot,84,floor,alcohol
rot,81,floor,alcohol
rot,80,floor,alcohol
rot,84,floor,alcohol
rot,89,floor,alcohol
rot,93,floor,alcohol
rot,90,floor,alcohol
rot,85,floor,alcohol
rot,93,floor,alcohol
rot,96,floor,alcohol
rot,83,floor,alcohol
rot,81,floor,alcohol
rot,95,floor,alcohol
rot,94,floor,alcohol
rot,82,floor,alcohol
rot,97,floor,alcohol
rot,84,floor,alcohol
rot,86,floor,alcohol
rot,88,floor,alcohol
rot,94,floor,alcohol
rot,83,floor,alcohol
rot,87,floor,alcohol
rot,90,floor,alcohol
rot,91,floor,alcohol
rot,97,floor,alcohol
rot,90,floor,alcohol
rot,82,floor,alcohol
rot,90,floor,alcohol
rot,87,floor,alcohol
rot,81,floor,alcohol
rot,98,floor,alcohol
rot,79,floor,alcohol
rot,100,floor,alcohol
rot,89,floor,alcohol
rot,100,floor,alcohol
rot,99,floor,alcohol
rot,82,floor,alcohol
rot,83,floor,alcohol
rot,91,floor,alcohol
rot,85,floor,alcohol
rot,99,floor,alcohol
rot,90,floor,alcohol
rot,95,floor,alcohol
rot,89,floor,alcohol
rot,94,floor,alcohol
rot,88,floor,alcohol
rot,92,floor,alcohol
rot,81,floor,alcohol
rot,100,floor,alcohol
rot,84,floor,alcohol
rot,88,floor,alcohol
rot,78,floor,alcohol
rot,100,floor,alcohol
rot,97,floor,alcohol
rot,94,floor,alcohol
rot,91,floor,alcohol
rot,78,floor,alcohol
rot,86,floor,alcohol
rot,81,floor,alcohol
rot,89,floor,alcohol
rot,88,floor,alcohol
rot,87,floor,alcohol
rot,96,floor,alcohol
rot,89,floor,alcohol
rot,85,floor,alcohol
rot,93,floor,alcohol
rot,91,floor,alcohol
rot,82,floor,alcohol
rot,89,floor,alcohol
rot,88,floor,alcohol
rot,99,floor,alcohol
rot,97,floor,alcohol
rot,82,floor,alcohol
rot,88,floor,alcohol
rot,96,floor,alcohol
rot,87,floor,alcohol
rot,96,floor,alcohol
rot,88,floor,alcohol
rot,91,floor,alcohol
rot,100,floor,alcohol
rot,82,floor,alcohol
rot,79,floor,alcohol
rot,86,floor,alcohol
rot,95,floor,alcohol
rot,80,floor,alcohol
rot,100,floor,alcohol
rot,79,floor,alcohol
rot,86,floor,alcohol
rot,92,floor,alcohol
rot,91,floor,alcohol
rot,86,floor,alcohol
rot,87,floor,alcohol
rot,100,floor,alcohol
rot,95,floor,alcohol
rot,96,floor,alcohol
rot,80,floor,alcohol
rot,83,floor,alcohol
rot,82,floor,alcohol
rot,94,floor,alcohol
rot,85,floor,alcohol
rot,78,floor,alcohol
rot,97,floor,alcohol
rot,95,floor,alcohol
rot,83,floor,alcohol
rot,88,floor,alcohol
rot,92,floor,alcohol
rot,82,floor,alcohol
rot,91,floor,alcohol
rot,94,floor,alcohol
rot,81,floor,alcohol
rot,98,floor,alcohol
rot,87,floor,alcohol
rot,96,floor,alcohol
rot,100,floor,alcohol
rot,83,floor,alcohol
rot,80,floor,alcohol
rot,84,floor,alcohol
rot,85,floor,alcohol
rot,90,floor,alcohol
rot,98,floor,alcohol
rot,84,floor,alcohol
rot,97,floor,alcohol
rot,81,floor,alcohol
rot,98,floor,alcohol
rot,100,floor,alcohol
rot,97,floor,alcohol
rot,85,floor,alcohol
rot,88,floor,alcohol
rot,82,floor,alcohol
rot,80,floor,alcohol
rot,81,floor,alcohol
rot,86,floor,alcohol
rot,99,floor,alcohol
rot,97,floor,alcohol
rot,78,floor,alcohol
rot,87,floor,alcohol
rot,80,floor,alcohol
rot,90,floor,alcohol
rot,85,floor,alcohol
rot,91,floor,alcohol
rot,82,floor,alcohol
rot,97,floor,alcohol
rot,81,floor,alcohol
rot,90,floor,alcohol
rot,100,floor,alcohol
rot,88,floor,alcohol
rot,83,floor,alcohol
rot,98,floor,alcohol
rot,94,floor,alcohol
rot,83,floor,alcohol
rot,79,floor,alcohol
rot,93,floor,alcohol
rot,100,floor,alcohol
rot,95,floor,alcohol
rot,92,floor,alcohol
rot,97,floor,alcohol
rot,100,floor,alcohol
rot,99,floor,alcohol
rot,95,floor,alcohol
rot,92,floor,alcohol
rot,90,floor,alcohol
rot,87,floor,alcohol
rot,99,floor,alcohol
rot,93,floor,alcohol
rot,97,floor,alcohol
rot,99,floor,alcohol
rot,100,floor,alcohol
wine,100,floor,alcohol
wine,83,floor,alcohol
wine,87,floor,alcohol
wine,100,floor,alcohol
wine,89,floor,alcohol
wine,100,floor,alcohol
wine,82,floor,alcohol
wine,88,floor,alcohol
wine,81,floor,alcohol
wine,86,floor,alcohol
wine,98,floor,alcohol
wine,91,floor,alcohol
wine,83,floor,alcohol
wine,90,floor,alcohol
wine,82,floor,alcohol
wine,95,floor,alcohol
wine,100,floor,alcohol
wine,98,floor,alcohol
wine,97,floor,alcohol
wine,100,floor,alcohol
wine,88,floor,alcohol
wine,81,floor,alcohol
wine,90,floor,alcohol
wine,84,floor,alcohol
wine,96,floor,alcohol
wine,94,floor,alcohol
wine,86,floor,alcohol
wine,95,floor,alcohol
wine,97,floor,alcohol
wine,99,floor,alcohol
wine,82,floor,alcohol
wine,95,floor,alcohol
wine,81,floor,alcohol
wine,88,floor,alcohol
wine,82,floor,alcohol
wine,88,floor,alcohol
wine,92,floor,alcohol
wine,87,floor,alcohol
wine,82,floor,alcohol
wine,89,floor,alcohol
wine,88,floor,alcohol
wine,87,floor,alcohol
wine,84,floor,alcohol
wine,87,floor,alcohol
wine,85,floor,alcohol
wine,81,floor,alcohol
wine,99,floor,alcohol
wine,93,floor,alcohol
wine,84,floor,alcohol
wine,85,floor,alcohol
wine,84,floor,alcohol
wine,95,floor,alcohol
wine,97,floor,alcohol
wine,81,floor,alcohol
wine,99,floor,alcohol
